Country,GDP,population,gini_index
Timor-Leste (East Timor),1293000000,1210233,53.6
Togo,3813834650,6642928,31.9
Trinidad and Tobago,23320256743,1337439,40.3
Tunisia,45662043358,10777500,36.1
Turkey,7.89257E+11,73997128,40
Turkmenistan,35164210526,5172931,40.2
Tuvalu,39875708,9860,40.8
Uganda,19881412441,36345860,44.3
Ukraine,1.76309E+11,45593300,44.3
United Arab Emirates,3.48595E+11,9205651,28.2
United Kingdom,2.47178E+12,63227526,36
United States,1.62446E+13,313914040,40
Uruguay,49919727146,3395253,45
Uzbekistan,51112745669,29776850,45.3
Vanuatu,787073459,247262,36.8
Venezuela,3.81286E+11,29954782,44.8
Vietnam,1.5582E+11,88775500,39
Yemen,35645823132,23852409,37.6
Zambia,20678025802,14075099,37.7
Zimbabwe,9802360203,13724317,50.8
